ID,rawmaterial,grain,Date,Time,Measurment,HLC
QTZ1-5,quartzite,coarse,09/06/2021,14:22:10,M1,919
QTZ1-2,quartzite,coarse,09/06/2021,14:12:22,M1,863
QTZ1-1,quartzite,coarse,09/06/2021,14:05:18,M1,910
OBS4-6,obsidian,fine,09/06/2021,13:59:22,M1,927
OBS4-5,obsidian,fine,09/06/2021,13:51:50,M1,969
OBS4-4,obsidian,fine,09/06/2021,13:48:41,M1,966
FLT10-6,flint,fine,09/06/2021,12:22:13,M1,954
FLT10-5,flint,fine,09/06/2021,12:18:19,M1,963
FLT10-2,flint,fine,09/06/2021,12:00:33,M1,968
DAC3-6,dacite,coarse,09/06/2021,15:03:51,M1,966
DAC3-4,dacite,coarse,09/06/2021,14:50:33,M1,955
DAC3-2,dacite,coarse,09/06/2021,14:40:31,M1,940
QTZ1-5,quartzite,coarse,09/06/2021,14:22:10,M2,872
QTZ1-2,quartzite,coarse,09/06/2021,14:12:22,M2,918
QTZ1-1,quartzite,coarse,09/06/2021,14:05:18,M2,890
OBS4-6,obsidian,fine,09/06/2021,13:59:22,M2,940
OBS4-5,obsidian,fine,09/06/2021,13:51:50,M2,960
OBS4-4,obsidian,fine,09/06/2021,13:48:41,M2,965
FLT10-6,flint,fine,09/06/2021,12:22:13,M2,950
FLT10-5,flint,fine,09/06/2021,12:18:19,M2,956
FLT10-2,flint,fine,09/06/2021,12:00:33,M2,972
DAC3-6,dacite,coarse,09/06/2021,15:03:51,M2,973
DAC3-4,dacite,coarse,09/06/2021,14:50:33,M2,961
DAC3-2,dacite,coarse,09/06/2021,14:40:31,M2,938
QTZ1-5,quartzite,coarse,09/06/2021,14:22:10,M3,850
QTZ1-2,quartzite,coarse,09/06/2021,14:12:22,M3,929
QTZ1-1,quartzite,coarse,09/06/2021,14:05:18,M3,895
OBS4-6,obsidian,fine,09/06/2021,13:59:22,M3,959
OBS4-5,obsidian,fine,09/06/2021,13:51:50,M3,953
OBS4-4,obsidian,fine,09/06/2021,13:48:41,M3,970
FLT10-6,flint,fine,09/06/2021,12:22:13,M3,949
FLT10-5,flint,fine,09/06/2021,12:18:19,M3,900
FLT10-2,flint,fine,09/06/2021,12:00:33,M3,964
DAC3-6,dacite,coarse,09/06/2021,15:03:51,M3,975
DAC3-4,dacite,coarse,09/06/2021,14:50:33,M3,956
DAC3-2,dacite,coarse,09/06/2021,14:40:31,M3,919
QTZ1-5,quartzite,coarse,09/06/2021,14:22:10,M4,891
QTZ1-2,quartzite,coarse,09/06/2021,14:12:22,M4,889
QTZ1-1,quartzite,coarse,09/06/2021,14:05:18,M4,855
OBS4-6,obsidian,fine,09/06/2021,13:59:22,M4,957
OBS4-5,obsidian,fine,09/06/2021,13:51:50,M4,964
OBS4-4,obsidian,fine,09/06/2021,13:48:41,M4,969
FLT10-6,flint,fine,09/06/2021,12:22:13,M4,904
FLT10-5,flint,fine,09/06/2021,12:18:19,M4,922
FLT10-2,flint,fine,09/06/2021,12:00:33,M4,959
DAC3-6,dacite,coarse,09/06/2021,15:03:51,M4,969
DAC3-4,dacite,coarse,09/06/2021,14:50:33,M4,972
DAC3-2,dacite,coarse,09/06/2021,14:40:31,M4,962
QTZ1-5,quartzite,coarse,09/06/2021,14:22:10,M5,929
QTZ1-2,quartzite,coarse,09/06/2021,14:12:22,M5,919
QTZ1-1,quartzite,coarse,09/06/2021,14:05:18,M5,899
OBS4-6,obsidian,fine,09/06/2021,13:59:22,M5,948
OBS4-5,obsidian,fine,09/06/2021,13:51:50,M5,967
OBS4-4,obsidian,fine,09/06/2021,13:48:41,M5,969
FLT10-6,flint,fine,09/06/2021,12:22:13,M5,920
FLT10-5,flint,fine,09/06/2021,12:18:19,M5,914
FLT10-2,flint,fine,09/06/2021,12:00:33,M5,965
DAC3-6,dacite,coarse,09/06/2021,15:03:51,M5,945
DAC3-4,dacite,coarse,09/06/2021,14:50:33,M5,970
DAC3-2,dacite,coarse,09/06/2021,14:40:31,M5,946
QTZ1-5,quartzite,coarse,09/06/2021,14:22:10,M6,908
QTZ1-2,quartzite,coarse,09/06/2021,14:12:22,M6,894
QTZ1-1,quartzite,coarse,09/06/2021,14:05:18,M6,877
OBS4-6,obsidian,fine,09/06/2021,13:59:22,M6,962
OBS4-5,obsidian,fine,09/06/2021,13:51:50,M6,953
OBS4-4,obsidian,fine,09/06/2021,13:48:41,M6,961
FLT10-6,flint,fine,09/06/2021,12:22:13,M6,955
FLT10-5,flint,fine,09/06/2021,12:18:19,M6,924
FLT10-2,flint,fine,09/06/2021,12:00:33,M6,953
DAC3-6,dacite,coarse,09/06/2021,15:03:51,M6,931
DAC3-4,dacite,coarse,09/06/2021,14:50:33,M6,968
DAC3-2,dacite,coarse,09/06/2021,14:40:31,M6,944
QTZ1-5,quartzite,coarse,09/06/2021,14:22:10,M7,915
QTZ1-2,quartzite,coarse,09/06/2021,14:12:22,M7,911
QTZ1-1,quartzite,coarse,09/06/2021,14:05:18,M7,866
OBS4-6,obsidian,fine,09/06/2021,13:59:22,M7,960
OBS4-5,obsidian,fine,09/06/2021,13:51:50,M7,962
OBS4-4,obsidian,fine,09/06/2021,13:48:41,M7,966
FLT10-6,flint,fine,09/06/2021,12:22:13,M7,958
FLT10-5,flint,fine,09/06/2021,12:18:19,M7,932
FLT10-2,flint,fine,09/06/2021,12:00:33,M7,968
DAC3-6,dacite,coarse,09/06/2021,15:03:51,M7,968
DAC3-4,dacite,coarse,09/06/2021,14:50:33,M7,971
DAC3-2,dacite,coarse,09/06/2021,14:40:31,M7,865
QTZ1-5,quartzite,coarse,09/06/2021,14:22:10,M8,898
QTZ1-2,quartzite,coarse,09/06/2021,14:12:22,M8,900
QTZ1-1,quartzite,coarse,09/06/2021,14:05:18,M8,896
OBS4-6,obsidian,fine,09/06/2021,13:59:22,M8,960
OBS4-5,obsidian,fine,09/06/2021,13:51:50,M8,961
OBS4-4,obsidian,fine,09/06/2021,13:48:41,M8,959
FLT10-6,flint,fine,09/06/2021,12:22:13,M8,954
FLT10-5,flint,fine,09/06/2021,12:18:19,M8,944
FLT10-2,flint,fine,09/06/2021,12:00:33,M8,970
DAC3-6,dacite,coarse,09/06/2021,15:03:51,M8,967
DAC3-4,dacite,coarse,09/06/2021,14:50:33,M8,967
DAC3-2,dacite,coarse,09/06/2021,14:40:31,M8,907
QTZ1-5,quartzite,coarse,09/06/2021,14:22:10,M9,894
QTZ1-2,quartzite,coarse,09/06/2021,14:12:22,M9,935
QTZ1-1,quartzite,coarse,09/06/2021,14:05:18,M9,855
OBS4-6,obsidian,fine,09/06/2021,13:59:22,M9,954
OBS4-5,obsidian,fine,09/06/2021,13:51:50,M9,956
OBS4-4,obsidian,fine,09/06/2021,13:48:41,M9,968
FLT10-6,flint,fine,09/06/2021,12:22:13,M9,961
FLT10-5,flint,fine,09/06/2021,12:18:19,M9,968
FLT10-2,flint,fine,09/06/2021,12:00:33,M9,968
DAC3-6,dacite,coarse,09/06/2021,15:03:51,M9,974
DAC3-4,dacite,coarse,09/06/2021,14:50:33,M9,968
DAC3-2,dacite,coarse,09/06/2021,14:40:31,M9,950
QTZ1-5,quartzite,coarse,09/06/2021,14:22:10,M10,917
QTZ1-2,quartzite,coarse,09/06/2021,14:12:22,M10,919
QTZ1-1,quartzite,coarse,09/06/2021,14:05:18,M10,890
OBS4-6,obsidian,fine,09/06/2021,13:59:22,M10,951
OBS4-5,obsidian,fine,09/06/2021,13:51:50,M10,953
OBS4-4,obsidian,fine,09/06/2021,13:48:41,M10,964
FLT10-6,flint,fine,09/06/2021,12:22:13,M10,949
FLT10-5,flint,fine,09/06/2021,12:18:19,M10,937
FLT10-2,flint,fine,09/06/2021,12:00:33,M10,969
DAC3-6,dacite,coarse,09/06/2021,15:03:51,M10,971
DAC3-4,dacite,coarse,09/06/2021,14:50:33,M10,966
DAC3-2,dacite,coarse,09/06/2021,14:40:31,M10,954
